snapshot_id,account_id,snapshot_date,split,hybrid_score,risk_band,recommended_action,reason_codes,case_summary
A100816_2026-03-31,A100816,2026-03-31,test,0.069178,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.069). Key reasons: hardship_mentioned.
A101635_2026-03-31,A101635,2026-03-31,test,0.032943,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.033). Key reasons: low_observed_risk.
A100105_2026-03-31,A100105,2026-03-31,test,0.025507,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.026). Key reasons: low_observed_risk.
A101201_2026-03-31,A101201,2026-03-31,test,0.067535,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.068). Key reasons: missed_payment_mentioned.
A100945_2026-03-31,A100945,2026-03-31,test,0.066970,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.067). Key reasons: hardship_mentioned.
A101585_2026-03-31,A101585,2026-03-31,test,0.030132,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.030). Key reasons: low_observed_risk.
A101953_2026-03-31,A101953,2026-03-31,test,0.029304,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.029). Key reasons: low_observed_risk.
A101460_2026-03-31,A101460,2026-03-31,test,0.027124,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A101645_2026-03-31,A101645,2026-03-31,test,0.067926,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.068). Key reasons: hardship_mentioned.
A100137_2026-03-31,A100137,2026-03-31,test,0.065698,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.066). Key reasons: missed_payment_mentioned.
A100338_2026-03-31,A100338,2026-03-31,test,0.028990,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.029). Key reasons: low_observed_risk.
