note_id,snapshot_id,account_id,snapshot_date,hardship_signal,income_shock_signal,missed_payment_signal,arrangement_break_signal,collections_signal,vulnerability_signal,note_signal_score,parser_confidence,extraction_method
N0000001,A101326_2025-06-30,A101326,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000002,A100153_2025-03-31,A100153,2025-03-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000003,A102316_2025-05-31,A102316,2025-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000004,A100545_2025-10-31,A100545,2025-10-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000005,A100422_2025-07-31,A100422,2025-07-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000006,A101286_2026-04-30,A101286,2026-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000007,A100999_2025-03-31,A100999,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000008,A101712_2025-06-30,A101712,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000009,A100317_2025-11-30,A100317,2025-11-30,1,1,1,1,1,0,0.9500,0.92,deterministic_keyword_rules_v1
N0000010,A100266_2025-03-31,A100266,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000011,A101165_2026-01-31,A101165,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000012,A101177_2025-05-31,A101177,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000013,A101839_2026-02-28,A101839,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000014,A101558_2025-08-31,A101558,2025-08-31,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000015,A102413_2025-07-31,A102413,2025-07-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000016,A102111_2025-02-28,A102111,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000017,A101640_2025-03-31,A101640,2025-03-31,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000018,A100619_2025-04-30,A100619,2025-04-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000019,A101033_2025-12-31,A101033,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000020,A100351_2025-05-31,A100351,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000021,A102114_2025-01-31,A102114,2025-01-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000022,A100372_2025-09-30,A100372,2025-09-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000023,A102059_2025-12-31,A102059,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000024,A100928_2025-07-31,A100928,2025-07-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000025,A101934_2025-09-30,A101934,2025-09-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000026,A100929_2026-04-30,A100929,2026-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000027,A100007_2026-05-31,A100007,2026-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000028,A101958_2025-07-31,A101958,2025-07-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000029,A101897_2026-02-28,A101897,2026-02-28,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000030,A100598_2026-05-31,A100598,2026-05-31,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000031,A100420_2026-06-30,A100420,2026-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000032,A102402_2025-11-30,A102402,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000033,A101876_2026-06-30,A101876,2026-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000034,A100613_2025-06-30,A100613,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000035,A102275_2026-05-31,A102275,2026-05-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000036,A102300_2025-01-31,A102300,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000037,A100816_2025-10-31,A100816,2025-10-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000038,A101063_2025-07-31,A101063,2025-07-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000039,A100985_2026-03-31,A100985,2026-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000040,A101036_2025-05-31,A101036,2025-05-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000041,A100916_2025-06-30,A100916,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000042,A100079_2025-12-31,A100079,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000043,A101210_2026-06-30,A101210,2026-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000044,A100743_2025-10-31,A100743,2025-10-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000045,A101662_2025-06-30,A101662,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000046,A100296_2025-10-31,A100296,2025-10-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000047,A100272_2025-09-30,A100272,2025-09-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000048,A102158_2025-09-30,A102158,2025-09-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000049,A101249_2025-07-31,A101249,2025-07-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000050,A100075_2026-06-30,A100075,2026-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000051,A101770_2026-05-31,A101770,2026-05-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000052,A100572_2026-02-28,A100572,2026-02-28,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000053,A101764_2025-06-30,A101764,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000054,A100759_2025-06-30,A100759,2025-06-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000055,A102240_2025-11-30,A102240,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000056,A101142_2026-05-31,A101142,2026-05-31,1,1,0,0,0,0,0.4000,0.86,deterministic_keyword_rules_v1
N0000057,A100367_2025-05-31,A100367,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000058,A100635_2026-02-28,A100635,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000059,A100179_2026-06-30,A100179,2026-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000060,A100065_2025-08-31,A100065,2025-08-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000061,A101848_2025-02-28,A101848,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000062,A102060_2025-04-30,A102060,2025-04-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000063,A101087_2025-08-31,A101087,2025-08-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000064,A101176_2025-02-28,A101176,2025-02-28,1,1,1,1,1,0,0.9500,0.92,deterministic_keyword_rules_v1
N0000065,A101246_2025-05-31,A101246,2025-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000066,A102115_2025-10-31,A102115,2025-10-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000067,A101276_2025-03-31,A101276,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000068,A100863_2025-03-31,A100863,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000069,A102471_2026-06-30,A102471,2026-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000070,A101846_2026-02-28,A101846,2026-02-28,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000071,A101357_2025-01-31,A101357,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000072,A101524_2025-03-31,A101524,2025-03-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000073,A100197_2025-10-31,A100197,2025-10-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000074,A100777_2026-01-31,A100777,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
