event_id,account_id,snapshot_date,event_date,event_type
E0000001,A100317,2025-11-30,2025-12-31,collections_referral
E0000002,A100266,2025-03-31,2025-06-14,hardship_support
E0000003,A101958,2025-07-31,2025-08-03,collections_referral
E0000004,A101897,2026-02-28,2026-04-13,collections_referral
E0000005,A100420,2026-06-30,2026-07-05,collections_referral
E0000006,A101176,2025-02-28,2025-05-19,collections_referral
E0000007,A101531,2025-12-31,2026-02-03,collections_referral
E0000008,A100506,2025-08-31,2025-10-02,collections_referral
E0000009,A101128,2025-11-30,2025-12-20,collections_referral
E0000010,A101944,2025-08-31,2025-10-18,missed_payment
E0000011,A100210,2025-11-30,2025-12-02,missed_payment
E0000012,A101624,2025-04-30,2025-07-15,collections_referral
E0000013,A101471,2025-05-31,2025-07-22,missed_payment
E0000014,A101720,2025-11-30,2025-12-13,collections_referral
E0000015,A101966,2025-08-31,2025-11-08,missed_payment
E0000016,A101700,2025-06-30,2025-07-02,missed_payment
E0000017,A100158,2025-05-31,2025-08-12,missed_payment
E0000018,A101218,2026-03-31,2026-06-18,missed_payment
E0000019,A101676,2026-06-30,2026-07-10,collections_referral
E0000020,A102493,2025-05-31,2025-06-23,collections_referral
E0000021,A100043,2025-01-31,2025-02-22,missed_payment
E0000022,A101439,2026-02-28,2026-03-20,collections_referral
E0000023,A100735,2025-08-31,2025-09-10,collections_referral
E0000024,A101919,2026-05-31,2026-07-16,collections_referral
E0000025,A101651,2025-02-28,2025-03-29,missed_payment
E0000026,A100462,2026-06-30,2026-08-05,collections_referral
E0000027,A102381,2026-03-31,2026-04-27,missed_payment
E0000028,A100145,2025-03-31,2025-05-16,missed_payment
E0000029,A102290,2025-10-31,2025-11-04,collections_referral
E0000030,A101540,2026-02-28,2026-05-08,missed_payment
E0000031,A101063,2025-03-31,2025-06-25,collections_referral
E0000032,A100209,2025-11-30,2026-01-15,missed_payment
E0000033,A101783,2026-01-31,2026-02-19,hardship_support
E0000034,A100996,2025-03-31,2025-06-22,hardship_support
E0000035,A102471,2026-06-30,2026-08-04,hardship_support
E0000036,A101874,2025-05-31,2025-06-07,missed_payment
E0000037,A100855,2025-10-31,2026-01-19,missed_payment
E0000038,A100926,2025-02-28,2025-03-15,collections_referral
E0000039,A101891,2026-05-31,2026-06-27,collections_referral
E0000040,A100003,2025-02-28,2025-04-08,hardship_support
E0000041,A100088,2025-03-31,2025-06-21,missed_payment
E0000042,A101870,2025-10-31,2026-01-20,missed_payment
E0000043,A101853,2026-02-28,2026-05-04,missed_payment
E0000044,A101513,2026-06-30,2026-08-13,missed_payment
E0000045,A100588,2025-06-30,2025-07-12,missed_payment
E0000046,A101133,2025-04-30,2025-06-13,missed_payment
E0000047,A101209,2025-02-28,2025-03-04,missed_payment
E0000048,A100200,2026-04-30,2026-05-11,collections_referral
E0000049,A102304,2026-04-30,2026-07-11,missed_payment
E0000050,A102317,2025-07-31,2025-08-04,hardship_support
E0000051,A102092,2026-01-31,2026-02-09,hardship_support
E0000052,A100872,2026-04-30,2026-06-22,hardship_support
E0000053,A100646,2025-12-31,2026-03-14,missed_payment
E0000054,A102235,2025-06-30,2025-09-07,missed_payment
E0000055,A101240,2026-03-31,2026-05-26,missed_payment
E0000056,A100769,2026-02-28,2026-05-20,missed_payment
E0000057,A100346,2025-07-31,2025-08-26,missed_payment
E0000058,A100517,2026-04-30,2026-06-21,missed_payment
E0000059,A100062,2026-06-30,2026-08-01,hardship_support
E0000060,A101477,2025-03-31,2025-04-17,missed_payment
E0000061,A101919,2025-01-31,2025-02-05,collections_referral
E0000062,A101077,2025-07-31,2025-10-18,missed_payment
E0000063,A101078,2026-01-31,2026-04-03,collections_referral
E0000064,A101551,2026-02-28,2026-03-20,collections_referral
E0000065,A101901,2025-02-28,2025-05-06,missed_payment
E0000066,A102084,2025-03-31,2025-05-02,hardship_support
E0000067,A100749,2026-04-30,2026-05-20,missed_payment
E0000068,A100548,2026-01-31,2026-03-11,missed_payment
E0000069,A101502,2025-02-28,2025-03-03,collections_referral
E0000070,A100277,2026-01-31,2026-04-03,collections_referral
E0000071,A101185,2026-06-30,2026-07-08,collections_referral
E0000072,A100645,2025-07-31,2025-09-24,collections_referral
E0000073,A102355,2025-05-31,2025-07-10,missed_payment
E0000074,A101751,2026-03-31,2026-06-19,hardship_support
E0000075,A101580,2026-05-31,2026-08-19,collections_referral
E0000076,A100035,2026-06-30,2026-08-01,missed_payment
E0000077,A100386,2025-11-30,2026-02-19,missed_payment
E0000078,A101633,2025-03-31,2025-04-24,hardship_support
