snapshot_id,account_id,snapshot_date,months_on_book,credit_limit,balance,utilization_ratio,payments_due_30d,missed_payment_90d,hardship_flag_90d,collections_contact_90d,high_utilization_flag,any_recent_distress_flag,event_count_next_90d,first_event_date_next_90d,risk_event_next_window
A101326_2025-06-30,A101326,2025-06-30,51,8000,7941.99,0.9927,0,0,0,0,1,0,0,,0
A100153_2025-03-31,A100153,2025-03-31,56,2500,1721.51,0.6886,0,0,0,0,0,0,0,,0
A102316_2025-05-31,A102316,2025-05-31,29,8000,1017.27,0.1272,3,1,0,0,0,1,0,,0
A100545_2025-10-31,A100545,2025-10-31,54,1000,114.03,0.1140,0,0,0,0,0,0,0,,0
A100422_2025-07-31,A100422,2025-07-31,48,500,231.99,0.4640,0,0,0,0,0,0,0,,0
A101286_2026-04-30,A101286,2026-04-30,75,2500,1308.49,0.5234,2,0,0,0,0,0,0,,0
A100999_2025-03-31,A100999,2025-03-31,74,1500,69.61,0.0464,3,0,0,0,0,0,0,,0
A101712_2025-06-30,A101712,2025-06-30,97,1500,704.40,0.4696,1,0,0,0,0,0,0,,0
A100317_2025-11-30,A100317,2025-11-30,44,8000,3020.38,0.3775,3,1,1,1,0,1,1,2025-12-31,1
A100266_2025-03-31,A100266,2025-03-31,94,8000,6294.41,0.7868,2,0,0,0,0,0,1,2025-06-14,1
A101165_2026-01-31,A101165,2026-01-31,114,8000,1678.91,0.2099,2,0,0,0,0,0,0,,0
A101177_2025-05-31,A101177,2025-05-31,95,1000,1037.18,1.0372,3,0,0,0,1,0,0,,0
A101839_2026-02-28,A101839,2026-02-28,71,1500,1340.64,0.8938,2,0,0,0,0,0,0,,0
A101558_2025-08-31,A101558,2025-08-31,20,500,120.34,0.2407,1,0,0,1,0,1,0,,0
A102413_2025-07-31,A102413,2025-07-31,34,1500,1215.63,0.8104,2,0,0,0,0,0,0,,0
A102111_2025-02-28,A102111,2025-02-28,59,8000,4453.60,0.5567,3,0,0,0,0,0,0,,0
A101640_2025-03-31,A101640,2025-03-31,25,500,409.11,0.8182,0,0,0,1,0,1,0,,0
A100619_2025-04-30,A100619,2025-04-30,47,5000,2620.40,0.5241,0,0,0,0,0,0,0,,0
A101033_2025-12-31,A101033,2025-12-31,78,1500,641.78,0.4279,3,0,0,0,0,0,0,,0
A100351_2025-05-31,A100351,2025-05-31,14,8000,4560.12,0.5700,2,0,0,0,0,0,0,,0
A102114_2025-01-31,A102114,2025-01-31,27,5000,1514.27,0.3029,0,0,0,0,0,0,0,,0
A100372_2025-09-30,A100372,2025-09-30,67,1500,1263.21,0.8421,1,0,0,0,0,0,0,,0
A102059_2025-12-31,A102059,2025-12-31,82,1000,216.27,0.2163,1,0,0,0,0,0,0,,0
A100928_2025-07-31,A100928,2025-07-31,67,2500,655.80,0.2623,2,0,0,0,0,0,0,,0
A101934_2025-09-30,A101934,2025-09-30,25,8000,2949.12,0.3686,2,0,0,0,0,0,0,,0
A100929_2026-04-30,A100929,2026-04-30,26,1500,613.60,0.4091,1,0,0,0,0,0,0,,0
A100007_2026-05-31,A100007,2026-05-31,117,8000,2801.06,0.3501,0,0,0,0,0,0,0,,0
A101958_2025-07-31,A101958,2025-07-31,56,8000,6784.64,0.8481,2,1,0,0,0,1,1,2025-08-03,1
A101897_2026-02-28,A101897,2026-02-28,96,500,262.97,0.5259,1,1,0,0,0,1,1,2026-04-13,1
A100598_2026-05-31,A100598,2026-05-31,85,1500,598.94,0.3993,1,0,0,1,0,1,0,,0
A100420_2026-06-30,A100420,2026-06-30,96,1000,86.52,0.0865,1,1,0,0,0,1,1,2026-07-05,1
A102402_2025-11-30,A102402,2025-11-30,34,5000,3773.48,0.7547,3,0,0,0,0,0,0,,0
A101876_2026-06-30,A101876,2026-06-30,54,5000,3238.57,0.6477,0,0,0,0,0,0,0,,0
A100613_2025-06-30,A100613,2025-06-30,19,2500,1637.65,0.6551,0,0,0,0,0,0,0,,0
A102275_2026-05-31,A102275,2026-05-31,101,500,306.76,0.6135,1,0,0,0,0,0,0,,0
A102300_2025-01-31,A102300,2025-01-31,98,500,246.37,0.4927,3,0,0,0,0,0,0,,0
A100816_2025-10-31,A100816,2025-10-31,58,5000,1355.67,0.2711,1,0,0,0,0,0,0,,0
A101063_2025-07-31,A101063,2025-07-31,108,2500,1227.03,0.4908,1,0,0,0,0,0,0,,0
A100985_2026-03-31,A100985,2026-03-31,10,1000,337.90,0.3379,1,0,0,0,0,0,0,,0
A101036_2025-05-31,A101036,2025-05-31,60,1000,167.20,0.1672,0,0,0,0,0,0,0,,0
A100916_2025-06-30,A100916,2025-06-30,91,2500,2010.22,0.8041,3,0,0,0,0,0,0,,0
A100079_2025-12-31,A100079,2025-12-31,71,2500,1351.33,0.5405,3,0,0,0,0,0,0,,0
A101210_2026-06-30,A101210,2026-06-30,9,500,494.32,0.9886,0,1,0,0,1,1,0,,0
A100743_2025-10-31,A100743,2025-10-31,97,1000,508.77,0.5088,3,0,0,0,0,0,0,,0
A101662_2025-06-30,A101662,2025-06-30,69,5000,997.00,0.1994,0,0,0,0,0,0,0,,0
A100296_2025-10-31,A100296,2025-10-31,3,8000,3067.33,0.3834,0,0,0,0,0,0,0,,0
A100272_2025-09-30,A100272,2025-09-30,111,500,165.99,0.3320,3,0,0,0,0,0,0,,0
A102158_2025-09-30,A102158,2025-09-30,15,1000,615.17,0.6152,2,1,0,0,0,1,0,,0
A101249_2025-07-31,A101249,2025-07-31,38,2500,983.79,0.3935,2,0,0,0,0,0,0,,0
A100075_2026-06-30,A100075,2026-06-30,71,1000,549.91,0.5499,3,0,0,0,0,0,0,,0
A101770_2026-05-31,A101770,2026-05-31,70,2500,1901.79,0.7607,1,0,0,0,0,0,0,,0
A100572_2026-02-28,A100572,2026-02-28,45,500,255.12,0.5102,1,1,0,0,0,1,0,,0
A101764_2025-06-30,A101764,2025-06-30,8,500,212.84,0.4257,2,0,0,0,0,0,0,,0
A100759_2025-06-30,A100759,2025-06-30,35,2500,847.76,0.3391,0,0,0,0,0,0,0,,0
A102240_2025-11-30,A102240,2025-11-30,32,500,380.09,0.7602,2,0,0,0,0,0,0,,0
A101142_2026-05-31,A101142,2026-05-31,84,1000,503.94,0.5039,1,0,1,0,0,1,0,,0
A100367_2025-05-31,A100367,2025-05-31,52,5000,3007.55,0.6015,2,0,0,0,0,0,0,,0
A100635_2026-02-28,A100635,2026-02-28,98,1500,845.70,0.5638,3,0,0,0,0,0,0,,0
A100179_2026-06-30,A100179,2026-06-30,81,2500,1259.22,0.5037,1,0,0,0,0,0,0,,0
A100065_2025-08-31,A100065,2025-08-31,11,500,47.56,0.0951,0,0,0,0,0,0,0,,0
A101848_2025-02-28,A101848,2025-02-28,81,500,142.48,0.2850,3,0,0,0,0,0,0,,0
A102060_2025-04-30,A102060,2025-04-30,85,5000,1404.23,0.2808,0,0,0,0,0,0,0,,0
A101087_2025-08-31,A101087,2025-08-31,94,1000,593.74,0.5937,3,0,0,0,0,0,0,,0
A101176_2025-02-28,A101176,2025-02-28,79,8000,7276.56,0.9096,1,1,1,1,1,1,1,2025-05-19,1
A101246_2025-05-31,A101246,2025-05-31,2,2500,1834.04,0.7336,0,0,0,0,0,0,0,,0
A102115_2025-10-31,A102115,2025-10-31,60,2500,1558.96,0.6236,3,0,0,0,0,0,0,,0
A101276_2025-03-31,A101276,2025-03-31,120,2500,2063.57,0.8254,3,0,0,0,0,0,0,,0
